,idx,data,sd,timestamp,fold
175,7370,27.3632105263158,0.048945812086180325,1622109021.06425,4
176,7380,27.250799999999998,0.18079885692853975,1622109030.464177,4
177,7390,27.05295238095238,0.03254370861658917,1622109038.4891903,4
178,6930,27.16520207253886,0.04917016657159804,1622109043.839223,4
179,6940,27.239470989761088,0.08297347335909783,1622109055.9892454,4
180,6490,27.272493212669687,0.0882697234139729,1622109068.839371,4
181,6500,27.215103202846972,0.07215389856902873,1622109081.3892953,4
182,6050,27.1800686695279,0.0958863530925475,1622109094.2391717,4
183,6060,26.965166666666665,0.20776692568988947,1622109106.9641922,4
184,5610,26.73601195219123,0.21528209015893726,1622109120.139219,4
185,5620,26.29767870036101,0.23570251706321593,1622109133.3392131,4
186,5170,26.767389105058363,0.07058221162058885,1622109146.6891518,4
187,5180,26.911845849802372,0.12569765765081797,1622109159.439154,4
188,4730,26.76906870229008,0.11658048956481037,1622109172.3141832,4
189,4740,26.543408,0.290974723190864,1622109185.1141198,4
190,4290,26.372521739130434,0.28851845989697655,1622109198.2640398,4
191,4300,25.551532258064515,0.36049093844554936,1622109211.3640766,4
192,3850,25.440183673469388,0.38909757831131553,1622109224.9140306,4
193,3860,24.52962393162393,0.7573825905624625,1622109238.1140597,4
194,3410,23.96055115511551,0.9166059343045382,1622109251.5390859,4
195,3420,23.547784860557773,0.7955803949761449,1622109271.6640737,4
196,3880,24.526463917525774,0.21814343441049416,1622109296.3390536,4
197,4340,24.110016556291388,0.8297746939815933,1622109323.5641375,4
198,4790,24.648294573643412,0.8180271446293206,1622109345.1140347,4
199,4780,25.156816479400746,0.39541991148030964,1622109358.2390714,4
200,5230,25.62368421052631,0.21699724217375724,1622109371.0890408,4
201,5220,25.24927819548872,0.4828674276470284,1622109383.9140375,4
202,5670,25.434375494071148,0.39304159697017627,1622109396.8891108,4
203,5660,26.42527450980392,0.3589142165482528,1622109409.5890825,4
204,6110,26.81573134328358,0.2323204543194814,1622109422.6641045,4
205,6100,27.032288,0.10062459468738315,1622109435.614064,4
206,6550,26.954121863799287,0.18443436590946305,1622109448.839068,4
207,6540,26.9277339055794,0.14875782522996872,1622109461.63909,4
208,6990,26.976206896551727,0.13970051201010597,1622109474.7140927,4
209,6980,27.055246636771308,0.0899339926101652,1622109487.5392153,4
210,7430,26.86225,0.19052436779116294,1622109500.314389,4
211,7420,27.06456108597285,0.1967569236202015,1622109513.039317,4
212,7870,27.268594059405945,0.03573338517681255,1622109526.139198,4
213,7860,27.258250000000004,0.02980123195315747,1622109536.4143612,4
214,8320,27.27149074074074,0.026859888644032336,1622109541.814435,4
215,8310,26.88561204013378,0.362356690605089,1622109551.9891872,4
216,8760,25.72485714285714,0.6698823127424474,1622109564.7142286,4
217,8750,26.301027777777776,0.6221154205214787,1622109577.1642778,4
218,9200,26.440836363636368,0.5458591814290695,1622109589.8642228,4
219,9190,26.98111971830986,0.08005424942265642,1622109602.4640985,4
220,9640,26.730495652173914,0.10705288200844422,1622109615.314152,4
221,9630,26.946992957746478,0.13548418630651726,1622109628.1642008,4
222,10080,27.078940928270047,0.03179278724266371,1622109641.1891055,4
223,10070,27.063320895522384,0.02051486564983741,1622109653.8140855,4
224,10520,26.964306122448985,0.06314033740338694,1622109666.6390858,4
225,10510,26.669326848249028,0.11506598588620996,1622109679.189144,4
226,10960,26.758937007874014,0.3064548559072892,1622109691.9640825,4
227,10950,26.877995951417002,0.02825082822414046,1622109704.4891012,4
228,11400,26.82045864661654,0.0282761652806812,1622109717.3141053,4
229,11390,26.74420416666667,0.037293598413654254,1622109729.9640706,4
230,11840,26.60061678832117,0.06950594058457477,1622109742.8140438,4
231,11830,26.500207547169808,0.013468843839059882,1622109750.989113,4
232,9050,27.715695652173913,0.006361807116855512,1622111416.989391,4
233,9051,27.724131578947365,0.0047967700351463785,1622111418.5140789,5
234,8591,27.73612765957448,0.002099817836847094,1622111420.639106,5
235,8601,27.75820640569395,0.011462771004841622,1622111428.8391318,5
236,8611,27.772796874999997,0.004668755926480267,1622111440.664151,5
237,8161,27.804832669322707,0.018948343714639184,1622111451.7390876,5
238,8171,27.855929648241204,0.008916422394575073,1622111462.9891357,5
239,7721,27.905617021276594,0.02450073369127695,1622111475.0141168,5
240,7731,27.972516129032257,0.016029953751450977,1622111485.9391613,5
241,7271,28.005,0.0,1622111489.964,5
242,7731,28.018846153846148,0.009230769230769034,1622111490.4389997,5
243,7271,28.01336666666667,0.006348140585153993,1622111491.5140665,5
244,7281,28.046547619047622,0.029560777546624183,1622111499.6141224,5
245,7291,28.1103488372093,0.009769158210218985,1622111508.0392325,5
246,6831,28.093877300613496,0.07409948320412364,1622111513.1891165,5
247,6841,28.110962962962965,0.05956052837841326,1622111524.6890943,5
248,6391,28.17121395348838,0.011158927626133032,1622111537.489121,5
249,6401,28.17332517482518,0.014273889157574658,1622111550.0141888,5
250,5951,28.094629464285713,0.07470687496857399,1622111562.7641385,5
251,5961,27.823216606498196,0.039324026680958586,1622111575.289159,5
252,5511,27.773386554621844,0.05261595585769083,1622111588.1643147,5
253,5521,27.712695167286245,0.01553039994236474,1622111600.8393047,5
254,5071,27.76983606557377,0.018787360878595453,1622111613.6642091,5
255,5081,27.751602316602316,0.04567765345900922,1622111626.2392123,5
256,4631,27.80013076923077,0.058686178226163115,1622111639.2141037,5
257,4641,27.760473469387758,0.07269065227922836,1622111651.8391469,5
258,4191,27.746950570342207,0.11375793721381544,1622111664.5391178,5
259,4201,27.944799999999994,0.05384602160376528,1622111676.9890723,5
260,3751,27.49325090909091,0.22365604832804994,1622111689.7391784,5
261,3761,27.288973568281936,0.10678509526187002,1622111702.2891319,5
262,3311,27.35565949820788,0.1584147346194504,1622111714.9391217,5
263,3321,26.922397260273968,0.07383538516241983,1622111727.38921,5
264,2871,26.789682119205292,0.04742695615726731,1622111740.414076,5
265,2881,26.880191256830607,0.026392198094859157,1622111752.5391912,5
266,2421,26.904837837837835,0.019837874659366133,1622111758.0390542,5
267,2431,26.88238263665595,0.05896474139223529,1622111766.739212,5
268,2441,27.124859154929574,0.05989763469069017,1622111776.2890985,5
269,1981,27.293294520547946,0.04786727766800083,1622111781.714219,5
270,1991,27.484957095709568,0.060643263599083466,1622111792.9393134,5
271,1541,27.66075,0.04569160988940628,1622111806.1143348,5
272,1551,27.781491525423732,0.029880764676847173,1622111819.089295,5
273,1101,27.655150214592272,0.08750091949214658,1622111832.2893517,5
274,1111,27.80645955882353,0.12972617591470267,1622111851.7144523,5
275,1571,27.69285744234801,0.0873870916459094,1622111877.2391214,5
276,1581,27.868878048780488,0.011157836843313574,1622111891.214195,5
277,2031,27.88586206896552,0.006846716494339714,1622111900.5141413,5
278,2041,27.859562500000003,0.005349868573151688,1622111911.76415,5
279,2031,27.842735632183896,0.01630207642801078,1622111917.9391608,5
280,2491,27.817200000000003,0.0039191835884526535,1622111920.2392,5
281,2031,27.822466666666667,0.006878630354624109,1622111921.8642166,5
282,2032,27.818692307692302,0.0034055297878743443,1622111923.689154,5
283,2031,27.803987654320988,0.011957221927612087,1622111926.0392344,5
284,2481,27.80929452054794,0.02896671869393264,1622111935.3641334,5
285,2471,27.731476635514017,0.01942122636550142,1622111945.3390937,5
286,2931,27.669428571428572,0.0122574425537784,1622111950.6391141,5
287,2921,27.51313559322034,0.10214404213311791,1622111960.6392102,5
288,2911,27.317999999999994,0.011704699910719412,1622111968.7641332,5
289,3371,27.24533862433862,0.02521991403070281,1622111974.239206,5
290,3361,27.165890410958905,0.025714481631650975,1622111986.2641575,5
291,3811,27.05011607142857,0.052261831458756826,1622111999.1640983,5
292,3801,27.256262411347517,0.10330527956341228,1622112011.814149,5
293,4251,27.43173417721519,0.0776161237861077,1622112024.7891264,5
294,4241,27.679294736842106,0.07790482817515826,1622112037.8391192,5
295,4691,27.61760493827161,0.06011785661043164,1622112051.0391564,5
296,4681,27.594913857677902,0.019574023404359733,1622112063.7891197,5
297,5131,27.54316,0.03437054552956627,1622112076.71422,5
298,5121,27.72187356321839,0.08051260170244964,1622112089.489226,5
299,5571,27.826402298850574,0.033410414246995666,1622112102.5393178,5
300,5561,27.80731746031746,0.060362351715793405,1622112115.3643253,5
301,6011,27.886950177935944,0.09102573455074178,1622112128.6892312,5
302,6001,28.03466530612246,0.03696057221385545,1622112141.8391593,5
303,6451,27.933014184397166,0.020367191604104946,1622112155.0141807,5
304,6441,27.914137339055795,0.0398002310445886,1622112167.8891242,5
305,6891,27.91103146853147,0.036024016696674675,1622112180.8641958,5
306,6881,27.80333484162896,0.05342272389718475,1622112193.5392354,5
307,7331,27.845389261744966,0.08952047581077653,1622112206.5141544,5
308,7321,27.8651,0.01662197340871395,1622112218.9641497,5
309,7781,27.8601052631579,0.0013335641536111101,1622112224.4391053,5
310,7771,27.851874999999996,0.008238079506011605,1622112232.514138,5
311,7761,27.83215909090909,0.006741807087860312,1622112242.3141363,5
312,8221,27.833071428571426,0.005270731661249137,1622112244.864143,5
313,8222,27.835124999999998,0.0014523687548278364,1622112245.6141248,5
314,8221,27.833099999999995,0.0028089143810380124,1622112248.5141602,5
315,8211,27.819261589403972,0.012084461923906659,1622112258.5641422,5
316,8661,27.797748837209305,0.005992412725757502,1622112271.4891398,5
317,8651,27.786891156462588,0.00975421015097594,1622112284.2140918,5
318,9101,27.759842105263157,0.009141748217937043,1622112297.264149,5
319,9091,27.748198581560285,0.010815814438111526,1622112310.0141098,5
320,9541,27.73858441558441,0.009442031821499148,1622112322.8392122,5
321,9531,27.725194945848376,0.012578055631965677,1622112335.5392454,5
322,9981,27.703381818181818,0.00801246962062766,1622112343.839309,5
323,9982,27.702875000000002,0.00033071891388465293,1622112345.4143748,5
324,9981,27.697378947368403,0.006404240285061225,1622112347.9892106,5
325,9982,27.71044444444444,0.0015713484026364597,1622112350.5893333,5
326,9981,27.684305084745763,0.014052268334037535,1622112352.2894917,5
327,9980,27.63978260869567,0.006573706000880845,1622112354.9143915,5
328,9970,27.63,0.0,1622112356.1393335,5
329,11330,26.155,0.0,1622112551.0894284,5
330,11790,26.25,0.0,1622112551.3894,5
331,11330,26.25,0.0,1622112551.565,5
332,11790,26.501749999999998,0.1765182356018785,1622112552.2146666,5
